file,URL
HuskyCT_100,https://kb.uconn.edu/space/TL/10823664000
HuskyCT_101,https://kb.uconn.edu/space/TL/10780213429
HuskyCT_102,https://kb.uconn.edu/space/TL/10780213389
HuskyCT_103,https://kb.uconn.edu/space/TL/10780213423
HuskyCT_104,https://kb.uconn.edu/space/TL/10886382252
HuskyCT_105,https://kb.uconn.edu/space/TL/10776806508
HuskyCT_106,https://kb.uconn.edu/space/TL/26179469346
HuskyCT_107,https://kb.uconn.edu/space/TL/10731881574
HuskyCT_108,https://kb.uconn.edu/space/TL/10776805911
HuskyCT_109,https://kb.uconn.edu/space/TL/10769924137
HuskyCT_110,https://kb.uconn.edu/space/TL/10789816532
HuskyCT_111,https://kb.uconn.edu/space/TL/10783457477
HuskyCT_112,https://kb.uconn.edu/space/TL/10794830869
HuskyCT_113,https://kb.uconn.edu/space/TL/10784506230
HuskyCT_114,https://kb.uconn.edu/space/TL/10776806511
HuskyCT_115,https://kb.uconn.edu/space/TL/26164363322
HuskyCT_116,https://kb.uconn.edu/space/TL/10769924144
HuskyCT_117,https://kb.uconn.edu/space/TL/10893557788
HuskyCT_118,https://kb.uconn.edu/space/TL/10770448458
HuskyCT_119,https://kb.uconn.edu/space/TL/10749247831
HuskyCT_120,https://kb.uconn.edu/space/TL/10784507488
HuskyCT_121,https://kb.uconn.edu/space/TL/10763764293
HuskyCT_122,https://kb.uconn.edu/space/TL/10763764263
HuskyCT_123,https://kb.uconn.edu/space/TL/10763764102
HuskyCT_124,https://kb.uconn.edu/space/TL/10784506238
HuskyCT_125,https://kb.uconn.edu/space/TL/10731881588
HuskyCT_126,https://kb.uconn.edu/space/TL/10770448460
HuskyCT_127,https://kb.uconn.edu/space/TL/10731880581
HuskyCT_128,https://kb.uconn.edu/space/TL/26312769655
HuskyCT_129,https://kb.uconn.edu/space/TL/26301202526
HuskyCT_130,https://kb.uconn.edu/space/TL/10859348210
HuskyCT_131,https://kb.uconn.edu/space/TL/10767466657
HuskyCT_132,https://kb.uconn.edu/space/TL/26699759719
HuskyCT_133,https://kb.uconn.edu/space/TL/10767466717
HuskyCT_134,https://kb.uconn.edu/space/TL/10861511877
HuskyCT_135,https://kb.uconn.edu/space/TL/10767466672
HuskyCT_136,https://kb.uconn.edu/space/TL/10767466659
HuskyCT_137,https://kb.uconn.edu/space/TL/10767466664
HuskyCT_138,https://kb.uconn.edu/space/TL/10821042993
HuskyCT_139,https://kb.uconn.edu/space/TL/10770820319
HuskyCT_140,https://kb.uconn.edu/space/TL/10731881590
HuskyCT_141,https://kb.uconn.edu/space/TL/10789817284
HuskyCT_142,https://kb.uconn.edu/space/TL/10731881853
HuskyCT_143,https://kb.uconn.edu/space/TL/10731881579
HuskyCT_144,https://kb.uconn.edu/space/TL/26255982901
HuskyCT_145,https://kb.uconn.edu/space/TL/10759274856
HuskyCT_146,https://kb.uconn.edu/space/TL/10763764095
HuskyCT_147,https://kb.uconn.edu/space/TL/10731880600
HuskyCT_148,https://kb.uconn.edu/space/TL/10731881600
HuskyCT_149,https://kb.uconn.edu/space/TL/26213351457
HuskyCT_150,https://kb.uconn.edu/space/TL/10731881788
HuskyCT_151,https://kb.uconn.edu/space/TL/10776805797
HuskyCT_152,https://kb.uconn.edu/space/TL/10731881471
HuskyCT_153,https://kb.uconn.edu/space/TL/10749083767
HuskyCT_154,https://kb.uconn.edu/space/TL/10731881525
HuskyCT_155,https://kb.uconn.edu/space/TL/10763764282
HuskyCT_156,https://kb.uconn.edu/space/TL/10763764273
HuskyCT_157,https://kb.uconn.edu/space/TL/10731880563
HuskyCT_158,https://kb.uconn.edu/space/TL/10763764280
HuskyCT_159,https://kb.uconn.edu/space/TL/10759274823
HuskyCT_160,https://kb.uconn.edu/space/TL/10731880628
HuskyCT_161,https://kb.uconn.edu/space/TL/10852499540
HuskyCT_162,https://kb.uconn.edu/space/TL/26077594223
StudentAdmin_1,https://kb.uconn.edu/space/SAS/10758194553
StudentAdmin_2,https://kb.uconn.edu/space/SAS/10861510945
StudentAdmin_3,https://kb.uconn.edu/space/SAS/10758194564
StudentAdmin_4,https://kb.uconn.edu/space/SAS/10758194627
StudentAdmin_5,https://kb.uconn.edu/space/SAS/10758194621
StudentAdmin_6,https://kb.uconn.edu/space/SAS/10758194624
StudentAdmin_7,https://kb.uconn.edu/space/SAS/10758194557
StudentAdmin_8,https://kb.uconn.edu/space/SAS/10758194583
StudentAdmin_9,https://kb.uconn.edu/space/SAS/10769929370
StudentAdmin_10,https://kb.uconn.edu/space/SAS/10769929367
StudentAdmin_11,https://kb.uconn.edu/space/SAS/10769929365
StudentAdmin_12,https://kb.uconn.edu/space/SAS/10758194590
StudentAdmin_13,https://kb.uconn.edu/space/SAS/10769929374
StudentAdmin_14,https://kb.uconn.edu/space/SAS/10836574826
StudentAdmin_15,https://kb.uconn.edu/space/SAS/10836574819
StudentAdmin_16,https://kb.uconn.edu/space/SAS/10769929542
StudentAdmin_17,https://kb.uconn.edu/space/SAS/10758194588
StudentAdmin_18,https://kb.uconn.edu/space/SAS/10840408104
StudentAdmin_19,https://kb.uconn.edu/space/SAS/10769929548
StudentAdmin_20,https://kb.uconn.edu/space/SAS/10758194562
StudentAdmin_21,https://kb.uconn.edu/space/SAS/10758194600
StudentAdmin_22,https://kb.uconn.edu/space/SAS/10779852865
StudentAdmin_23,https://kb.uconn.edu/space/SAS/10782343472
StudentAdmin_24,https://kb.uconn.edu/space/SAS/10779852972
StudentAdmin_25,https://kb.uconn.edu/space/SAS/10779852856
StudentAdmin_26,https://kb.uconn.edu/space/SAS/10782343470
StudentAdmin_27,https://kb.uconn.edu/space/SAS/10779852958
StudentAdmin_28,https://kb.uconn.edu/space/SAS/10780214144
StudentAdmin_29,https://kb.uconn.edu/space/SAS/10780214142
StudentAdmin_30,https://kb.uconn.edu/space/SAS/10779852862
StudentAdmin_31,https://kb.uconn.edu/space/SAS/10780214148
StudentAdmin_32,https://kb.uconn.edu/space/SAS/10758194606
StudentAdmin_33,https://kb.uconn.edu/space/SAS/10758194610
StudentAdmin_34,https://kb.uconn.edu/space/SAS/10758194602
StudentAdmin_35,https://kb.uconn.edu/space/SAS/10784506113
StudentAdmin_36,https://kb.uconn.edu/space/SAS/10785226861
StudentAdmin_37,https://kb.uconn.edu/space/SAS/10784506115
StudentAdmin_38,https://kb.uconn.edu/space/SAS/10785226877
StudentAdmin_39,https://kb.uconn.edu/space/SAS/10785226887
StudentAdmin_40,https://kb.uconn.edu/space/SAS/10785226875
StudentAdmin_41,https://kb.uconn.edu/space/SAS/10785226862
